"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-01","2010","01","01","","9.7","","4.5","","7.1","","10.9","","0.0","","12.6","","0.0","","12.6","","0","","13","E","35","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-02","2010","01","02","","9.0","","3.8","","6.4","","11.6","","0.0","","5.6","","0.0","","5.6","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-03","2010","01","03","","8.9","","4.0","","6.5","","11.5","","0.0","","0.8","","0.0","","0.8","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-04","2010","01","04","","6.6","","5.4","","6.0","","12.0","","0.0","","15.8","","0.0","","15.8","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-05","2010","01","05","","8.7","","3.8","","6.3","","11.7","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-06","2010","01","06","","6.8","","-0.1","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-07","2010","01","07","","5.6","","-2.7","","1.5","","16.5","","0.0","","1.0","","0.0","","1.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-08","2010","01","08","","6.9","","3.7","","5.3","","12.7","","0.0","","13.2","","0.0","","13.2","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-09","2010","01","09","","11.2","","6.9","","9.1","","8.9","","0.0","","2.0","","0.0","","2.0","","0","","11","E","32","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-10","2010","01","10","","12.4","","4.5","","8.5","","9.5","","0.0","","2.0","","0.0","","2.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-11","2010","01","11","","13.8","","9.4","","11.6","","6.4","","0.0","","36.0","","0.0","","36.0","","0","","12","E","56","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-12","2010","01","12","","13.4","","9.3","","11.4","","6.6","","0.0","","3.8","","0.0","","3.8","","0","","14","E","65","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-13","2010","01","13","","10.8","","5.8","","8.3","","9.7","","0.0","","6.0","","0.0","","6.0","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-14","2010","01","14","","9.7","","6.3","","8.0","","10.0","","0.0","","26.0","","0.0","","26.0","","0","","19","E","39","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-15","2010","01","15","","10.5","","4.3","","7.4","","10.6","","0.0","","24.6","","0.0","","24.6","","0","","14","E","59","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-16","2010","01","16","","9.0","","2.1","","5.6","","12.4","","0.0","","0.2","","0.0","","0.2","","0","","","","<31",""
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-17","2010","01","17","","10.3","","5.3","","7.8","","10.2","","0.0","","8.6","","0.0","","8.6","","0","","13","E","35","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-18","2010","01","18","","11.7","","4.6","","8.2","","9.8","","0.0","","3.0","","0.0","","3.0","","0","","13","E","82","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-19","2010","01","19","","14.1","","4.2","","9.2","","8.8","","0.0","","0.2","","0.0","","0.2","","0","","11","E","46","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-20","2010","01","20","","11.5","","6.9","","9.2","","8.8","","0.0","","0.0","T","0.0","","0.0","T","0","","9","E","44","E"
"-123.18","49.20","VANCOUVER INT'L A","1108447","2010-01-21","2010","01","21","","13.0","","5.5","","9.3","","8.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","<31",""
